School,Faculty Type,Salary Type,Salary,,,,,
Davidson,assistant,COLA Adjusted Salary,"66,458",,,,,
Furman,all_fac_2020,COLA Adjusted Salary,"97,885",,,,,
Furman,full,COLA Adjusted Salary,"114,331",,,,,
Furman,associate,COLA Adjusted Salary,"92,360",,,,,
Furman,assistant,COLA Adjusted Salary,"78,315",,,,,
Grinnell,all_fac_2020,COLA Adjusted Salary,"132,413",,,,,
Grinnell,full,COLA Adjusted Salary,"168,586",,,,,
Grinnell,associate,COLA Adjusted Salary,"127,936",,,,,
Grinnell,assistant,COLA Adjusted Salary,"105,974",,,,,
Hamilton,all_fac_2020,COLA Adjusted Salary,"133,976",,,,,
Hamilton,full,COLA Adjusted Salary,"176,976",,,,,
Hamilton,associate,COLA Adjusted Salary,"134,647",,,,,
Hamilton,assistant,COLA Adjusted Salary,"110,037",,,,,
Haverford,all_fac_2020,COLA Adjusted Salary,"29,891",,,,,
Haverford,full,COLA Adjusted Salary,"38,828",,,,,
Haverford,associate,COLA Adjusted Salary,"29,905",,,,,
Haverford,assistant,COLA Adjusted Salary,"25,148",,,,,
Macalester,all_fac_2020,COLA Adjusted Salary,"100,322",,,,,
Macalester,full,COLA Adjusted Salary,"128,355",,,,,
Macalester,associate,COLA Adjusted Salary,"96,465",,,,,
Macalester,assistant,COLA Adjusted Salary,"80,892",,,,,
Middlebury,all_fac_2020,COLA Adjusted Salary,"115,318",,,,,
Middlebury,full,COLA Adjusted Salary,"144,318",,,,,
Middlebury,associate,COLA Adjusted Salary,"107,290",,,,,
Middlebury,assistant,COLA Adjusted Salary,"92,761",,,,,
Oberlin,all_fac_2020,COLA Adjusted Salary,"119,806",,,,,
Oberlin,full,COLA Adjusted Salary,"150,850",,,,,
Oberlin,associate,COLA Adjusted Salary,"116,748",,,,,
Oberlin,assistant,COLA Adjusted Salary,"88,623",,,,,
Pomona,all_fac_2020,COLA Adjusted Salary,"43,367",,,,,
Pomona,full,COLA Adjusted Salary,"55,048",,,,,
Pomona,associate,COLA Adjusted Salary,"41,166",,,,,
Pomona,assistant,COLA Adjusted Salary,"33,830",,,,,
Swarthmore,all_fac_2020,COLA Adjusted Salary,"108,290",,,,,
Swarthmore,full,COLA Adjusted Salary,"136,944",,,,,
Swarthmore,associate,COLA Adjusted Salary,"97,665",,,,,
Swarthmore,assistant,COLA Adjusted Salary,"76,816",,,,,
Vassar,all_fac_2020,COLA Adjusted Salary,"108,956",,,,,
Vassar,full,COLA Adjusted Salary,"139,219",,,,,
Vassar,associate,COLA Adjusted Salary,"108,706",,,,,
Vassar,assistant,COLA Adjusted Salary,"87,026",,,,,
